1,Pacific Roasters,orders@pacificroasters.ca,604-555-1101,Vancouver
2,Mountain Tea Co,hello@mountaintea.ca,604-555-1102,Burnaby
3,Sunrise Bakery,sales@sunrisebakery.ca,604-555-1103,Richmond
4,Coastal Dairy,service@coastaldairy.ca,604-555-1104,Surrey
5,Urban Produce,orders@urbanproduce.ca,604-555-1105,Coquitlam
6,Northern Beans,contact@northernbeans.ca,604-555-1106,North Vancouver
7,Harbor Pastries,info@harborpastries.ca,604-555-1107,Vancouver
8,Green Leaf Tea,orders@greenleaftea.ca,604-555-1108,New Westminster
9,Grind & Ship,ship@grindship.ca,604-555-1109,Delta
10,Café Supply Hub,help@cafesupplyhub.ca,604-555-1110,Langley
11,Artisan Breads,b2b@artisanbreads.ca,604-555-1111,Vancouver
12,BeanCraft Imports,imports@beancraft.ca,604-555-1112,Burnaby
13,Seaside Snacks,snacks@seasidesnacks.ca,604-555-1113,Richmond
14,Metro Merch,orders@metromerch.ca,604-555-1114,Surrey
15,River City Roasts,sales@rivercityroasts.ca,604-555-1115,Coquitlam
16,Tea Temple,contact@teatemple.ca,604-555-1116,Vancouver
17,Daily Dairy,orders@dailydairy.ca,604-555-1117,North Vancouver
18,BakeWorks Collective,sales@bakeworks.ca,604-555-1118,Burnaby
19,Fresh Fields Produce,orders@freshfields.ca,604-555-1119,Langley
20,Coastline Coffee Gear,gear@coastlinegear.ca,604-555-1120,Delta
